,0,1,2,3,4,5
0,Nr. crt.,Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,
1,1.,Alba,13313,50,"1,72",
2,2.,Arad,15173,54,"1,43",
3,3.,Arges,19848,44,"1,15",
4,4.,Bacau,18029,73,"1,62",
5,5.,Bihor,19400,82,"1,89",
6,6.,Bistrita-Nasaud,7977,34,"1,23",
7,7.,Botosani,9278,78,"1,54",
8,8.,Brasov,27557,150,"2,51",
9,9.,Braila,9089,29,"1,74",
10,10.,Buzau,8783,16,"0,68",
11,11.,Caras-Severin,7307,35,"1,95",
12,12.,Calarasi,6904,26,"1,22",
13,13.,Cluj,33888,186,"3,49",
14,14.,Constanta,29018,121,"2,43",
15,15.,Covasna,5408,25,"0,91",
16,16.,Dambovita,16021,44,"1,3",
17,17.,Dolj,16767,48,"1,59",
18,18.,Galati,18066,67,"1,96",
19,19.,Giurgiu,7060,74,"1,3",
20,20.,Gorj,5495,28,"0,9",
21,21.,Harghita,5650,32,"0,69",
22,22.,Hunedoara,12877,63,"1,47",
23,23.,Ialomita,7406,21,"1,19",
24,24.,Iasi,30174,125,"1,21",
25,25.,Ilfov,27331,120,"3,48",
26,26.,Maramures,12460,64,"2,61",
27,27.,Mehedinti,5395,13,"0,95",
28,28.,Mures,16153,65,"1,21",
29,29.,Neamt,12092,58,"1,42",
30,30.,Olt,10250,46,"0,57",
31,31.,Prahova,25423,73,"1,13",
32,32.,Satu Mare,7895,73,"1,7",
33,33.,Salaj,6824,75,"1,98",
34,34.,Sibiu,18042,44,"1,54",
35,35.,Suceava,17750,114,"1,84",
36,36.,Teleorman,8620,35,"1,71",
37,37.,Timis,30379,194,"4,07",
38,38.,Tulcea,5892,15,"1,15",
39,39.,Vaslui,11563,54,"1,56",
40,40.,Valcea,10684,24,"1,45",
41,41.,Vrancea,7556,30,"0,71",
42,42.,Mun. Bucuresti,113825,257,"2,96",
43,43.,Cazuri noi nealocate pe judete,2276*,141, ,
44,20-ian, TOTAL,700.898,3.000, ,
45,Nr. crt.,Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,
46,1.,Alba,13351,38,"1,67",
47,2.,Arad,15249,76,"1,35",
48,3.,Arges,19902,54,"1,07",
49,4.,Bacau,18099,70,"1,52",
50,5.,Bihor,19450,50,"1,77",
51,6.,Bistrita-Nasaud,8010,33,"1,17",
52,7.,Botosani,9337,59,"1,52",
53,8.,Brasov,27673,116,"2,39",
54,9.,Braila,9127,38,"1,71",
55,10.,Buzau,8797,14,"0,63",
56,11.,Caras-Severin,7339,32,"1,87",
57,12.,Calarasi,6927,23,"1,16",
58,13.,Cluj,34089,201,"3,31",
59,14.,Constanta,29074,56,"2,28",
60,15.,Covasna,5415,7,"0,85",
61,16.,Dambovita,16081,60,"1,3",
62,17.,Dolj,16817,50,"1,5",
63,18.,Galati,18149,83,"1,86",
64,19.,Giurgiu,7069,9,"1,19",
65,20.,Gorj,5519,24,"0,89",
66,21.,Harghita,5663,13,"0,68",
67,22.,Hunedoara,12968,91,"1,53",
68,23.,Ialomita,7420,14,"1,12",
69,24.,Iasi,30278,104,"1,00",
70,25.,Ilfov,27477,146,"3,12",
71,26.,Maramures,12581,121,"2,59",
72,27.,Mehedinti,5412,17,"0,91",
